Source;Target;Weight;Type
1294;18576;0.816321687511;"Undirected"
1294;18942;0.835142111965;"Undirected"
1294;20071;0.816321687511;"Undirected"
1294;20073;0.816321687511;"Undirected"
1294;20088;0.816321687511;"Undirected"
1294;20244;0.816321687511;"Undirected"
1294;21308;0.816321687511;"Undirected"
1294;21687;0.816321687511;"Undirected"
1294;22491;0.816321687511;"Undirected"
1294;24172;0.816321687511;"Undirected"
1294;24466;0.816321687511;"Undirected"
1294;25358;0.816321687511;"Undirected"
1294;26071;0.816321687511;"Undirected"
1294;26412;0.816321687511;"Undirected"
1294;28119;0.816321687511;"Undirected"
1294;28201;0.816321687511;"Undirected"
1294;28608;0.816321687511;"Undirected"
1294;29002;0.816321687511;"Undirected"
1294;30798;0.816321687511;"Undirected"
1294;30799;0.816321687511;"Undirected"
1294;30835;0.816321687511;"Undirected"
1294;31389;0.816321687511;"Undirected"
1294;31406;0.816321687511;"Undirected"
1332;28925;0.861879691506;"Undirected"
1395;16983;0.811459809747;"Undirected"
1440;1463;0.825977071445;"Undirected"
1440;7696;0.825977071445;"Undirected"
1440;7902;0.825977071445;"Undirected"
1440;14820;0.825977071445;"Undirected"
1440;16776;0.825977071445;"Undirected"
1440;19091;0.825977071445;"Undirected"
1440;21187;0.825977071445;"Undirected"
1440;27712;0.825977071445;"Undirected"
1440;29025;0.825977071445;"Undirected"
1440;30278;0.825977071445;"Undirected"
1440;31425;0.825977071445;"Undirected"
1447;1037;0.884586969484;"Undirected"
1447;22535;0.884586969484;"Undirected"
1456;30224;0.80361562871;"Undirected"
1461;7729;0.825032188151;"Undirected"
1461;14207;0.857991679631;"Undirected"
1461;25822;0.88538363435;"Undirected"
1463;1440;0.825977071445;"Undirected"
1463;28325;0.821144881307;"Undirected"
1518;26431;0.831832719589;"Undirected"
1520;19049;0.918258492964;"Undirected"
1520;19263;0.918258492964;"Undirected"
1520;21931;0.955947814411;"Undirected"
1525;21641;0.801435196016;"Undirected"
1537;2953;0.91626918716;"Undirected"
1537;7569;0.894033540388;"Undirected"
1537;7738;0.802541433755;"Undirected"
1537;8931;0.871230500045;"Undirected"
1537;9045;0.802806878125;"Undirected"
1537;10438;0.91626918716;"Undirected"
1537;18882;0.878447902381;"Undirected"
1537;21373;0.894033540388;"Undirected"
1537;21606;0.878447902381;"Undirected"
1537;30641;0.966684741636;"Undirected"
1589;29712;0.812618808678;"Undirected"
1589;29726;0.812618808678;"Undirected"
1617;2075;0.842194488991;"Undirected"
1617;2242;0.842194488991;"Undirected"
1617;2454;0.877874802529;"Undirected"
1617;2568;0.854963774979;"Undirected"
1617;3062;0.854963774979;"Undirected"
1619;9317;0.869586461362;"Undirected"
1633;29124;0.8062460359;"Undirected"
1645;5045;0.862945710566;"Undirected"
1650;4265;0.846790097724;"Undirected"
1650;5369;0.846790097724;"Undirected"
1650;5374;0.846790097724;"Undirected"
1650;5483;0.846790097724;"Undirected"
1650;9043;0.846790097724;"Undirected"
1650;14855;0.846790097724;"Undirected"
1650;14870;0.846790097724;"Undirected"
1655;27954;0.827986465647;"Undirected"
1656;5430;0.817820510737;"Undirected"
1684;7289;0.815912143234;"Undirected"
1693;18845;0.901702264328;"Undirected"
1785;19582;0.841708770832;"Undirected"
1786;2075;0.842194488991;"Undirected"
1786;2242;0.842194488991;"Undirected"
1786;2454;0.877874802529;"Undirected"
1786;2568;0.854963774979;"Undirected"
1786;3062;0.854963774979;"Undirected"
1854;27445;0.888724881423;"Undirected"
1854;27794;0.888724881423;"Undirected"
1953;9829;0.830252810586;"Undirected"
1953;18945;0.819118912458;"Undirected"
1953;28705;0.819118912458;"Undirected"
1953;29704;0.92423640419;"Undirected"
1953;29715;0.92423640419;"Undirected"
1953;30633;0.819118912458;"Undirected"
2028;2983;0.918862941805;"Undirected"
2046;26616;0.924250527264;"Undirected"
2075;1617;0.842194488991;"Undirected"
2075;1786;0.842194488991;"Undirected"
2076;19253;0.946938489265;"Undirected"
2127;2526;0.856998062366;"Undirected"
2242;1617;0.842194488991;"Undirected"
2242;1786;0.842194488991;"Undirected"
2246;2249;0.950594402582;"Undirected"
2249;2246;0.950594402582;"Undirected"
2339;21330;0.866963767539;"Undirected"
2385;240;0.910395587154;"Undirected"
2421;2494;0.869432929571;"Undirected"
2454;1617;0.877874802529;"Undirected"
2454;1786;0.877874802529;"Undirected"
2481;9267;0.833150206679;"Undirected"
2481;17034;0.833150206679;"Undirected"
2481;19726;0.833150206679;"Undirected"
2481;20816;0.833150206679;"Undirected"
2481;21642;0.886197448811;"Undirected"
2494;2421;0.869432929571;"Undirected"
2494;2875;0.869432929571;"Undirected"
2494;5122;0.869432929571;"Undirected"
2494;7350;0.869432929571;"Undirected"
2494;11465;0.869432929571;"Undirected"
2526;2127;0.856998062366;"Undirected"
2566;4978;0.9011645888;"Undirected"
2566;9102;0.836159333246;"Undirected"
2566;17378;0.826851807254;"Undirected"
2566;29289;0.836159333246;"Undirected"
2568;1617;0.854963774979;"Undirected"
2568;1786;0.854963774979;"Undirected"
2575;2612;0.844741398056;"Undirected"
2612;2575;0.844741398056;"Undirected"
2617;29861;0.9173027099;"Undirected"
2624;12285;0.847179355798;"Undirected"
2624;22047;0.882550585994;"Undirected"
2632;23538;0.800055080874;"Undirected"
2664;19290;0.824909613588;"Undirected"
2733;552;0.886780875966;"Undirected"
2733;23216;0.886780875966;"Undirected"
2782;3348;0.858547947664;"Undirected"
2811;3305;0.942552773989;"Undirected"
2811;22718;0.917177550026;"Undirected"
2875;2494;0.869432929571;"Undirected"
2907;2945;0.806751966323;"Undirected"
2907;2973;0.934602119612;"Undirected"
2920;4062;0.801353505148;"Undirected"
2920;5761;0.801353505148;"Undirected"
2920;5822;0.832036571395;"Undirected"
2920;19518;0.801353505148;"Undirected"
2920;27161;0.801353505148;"Undirected"
2945;2907;0.806751966323;"Undirected"
2945;2973;0.863203655753;"Undirected"
2953;1537;0.91626918716;"Undirected"
2953;7569;0.975732408027;"Undirected"
2953;7738;0.875879539552;"Undirected"
2953;8931;0.950845572735;"Undirected"
2953;9045;0.876169240847;"Undirected"
2953;18882;0.95872251811;"Undirected"
2953;21373;0.975732408027;"Undirected"
2953;21606;0.95872251811;"Undirected"
2953;30641;0.873874505807;"Undirected"
2958;172;0.834118152493;"Undirected"
2961;447;0.937375405484;"Undirected"
2961;23225;0.829463117511;"Undirected"
2973;2907;0.934602119612;"Undirected"
2973;2945;0.863203655753;"Undirected"
2978;186;0.832184290048;"Undirected"
2978;9131;0.857988487508;"Undirected"
2978;16771;0.832184290048;"Undirected"
2978;19850;0.832184290048;"Undirected"
2978;20540;0.832184290048;"Undirected"
2978;20856;0.832184290048;"Undirected"
2978;21360;0.832184290048;"Undirected"
2978;23170;0.944075019813;"Undirected"
2978;23223;0.807453014905;"Undirected"
2978;23778;0.944075019813;"Undirected"
2978;31356;0.944075019813;"Undirected"
2983;2028;0.918862941805;"Undirected"
2983;10431;0.84004525435;"Undirected"
2983;25654;0.846391644647;"Undirected"
2983;28162;0.918862941805;"Undirected"
2994;3525;0.919489514389;"Undirected"
3009;3394;0.970808343175;"Undirected"
3018;3058;0.942687538437;"Undirected"
3058;3018;0.942687538437;"Undirected"
3062;1617;0.854963774979;"Undirected"
3062;1786;0.854963774979;"Undirected"
3111;3498;0.934423309541;"Undirected"
3113;3472;0.984886605362;"Undirected"
3122;3384;0.891082237933;"Undirected"
3171;3428;0.972862467791;"Undirected"
3188;13692;0.884953646971;"Undirected"
3188;19173;0.800848284534;"Undirected"
3219;3393;0.85479502602;"Undirected"
3231;19632;0.810222851846;"Undirected"
3231;28285;0.810222851846;"Undirected"
3266;22607;0.844108093736;"Undirected"
3279;22601;0.866948935348;"Undirected"
3280;22834;0.815180192245;"Undirected"
3297;31163;0.902331582529;"Undirected"
3304;3498;0.934423309541;"Undirected"
3305;2811;0.942552773989;"Undirected"
3305;22718;0.864488244018;"Undirected"
3342;4062;0.801353505148;"Undirected"
3342;5761;0.801353505148;"Undirected"
3342;5822;0.832036571395;"Undirected"
3342;19518;0.801353505148;"Undirected"
3342;27161;0.801353505148;"Undirected"
3348;2782;0.858547947664;"Undirected"
3353;22812;0.812798088252;"Undirected"
3378;4867;0.807994091916;"Undirected"
3384;3122;0.891082237933;"Undirected"
3390;22834;0.861395370035;"Undirected"
3393;3219;0.85479502602;"Undirected"
3394;3009;0.970808343175;"Undirected"
3394;3490;0.970808343175;"Undirected"
3428;3171;0.972862467791;"Undirected"
3436;22582;0.944213054531;"Undirected"
3472;3113;0.984886605362;"Undirected"
3490;3394;0.970808343175;"Undirected"
3498;3111;0.934423309541;"Undirected"
3498;3304;0.934423309541;"Undirected"
3525;2994;0.919489514389;"Undirected"
3527;21861;0.838669511062;"Undirected"
3534;162;0.81405371787;"Undirected"
3534;191;0.81405371787;"Undirected"
3534;11709;0.81405371787;"Undirected"
3534;12294;0.81405371787;"Undirected"
3534;12545;0.81405371787;"Undirected"
3534;21036;0.81405371787;"Undirected"
3534;23540;0.81405371787;"Undirected"
3534;23659;0.81405371787;"Undirected"
3534;25333;0.81405371787;"Undirected"
3534;25407;0.81405371787;"Undirected"
3534;25885;0.81405371787;"Undirected"
3534;26014;0.81405371787;"Undirected"
3534;27017;0.81405371787;"Undirected"
3534;27192;0.81405371787;"Undirected"
3534;28405;0.81405371787;"Undirected"
3534;29322;0.81405371787;"Undirected"
3534;29722;0.81405371787;"Undirected"
3534;30302;0.81405371787;"Undirected"
3534;30538;0.81405371787;"Undirected"
3534;31188;0.81405371787;"Undirected"
3534;31367;0.81405371787;"Undirected"
3561;21633;0.803586087544;"Undirected"
3561;29564;0.808733114761;"Undirected"
3585;14285;0.864769640434;"Undirected"
3585;14907;0.864769640434;"Undirected"
3585;14924;0.864769640434;"Undirected"
3585;15227;0.864769640434;"Undirected"
3585;15882;0.864769640434;"Undirected"
3585;16566;0.864769640434;"Undirected"
3640;3641;0.912149356472;"Undirected"
3641;3640;0.912149356472;"Undirected"
3643;12562;0.854732349257;"Undirected"
3643;16869;0.889882208606;"Undirected"
3681;14285;0.864769640434;"Undirected"
3681;14907;0.864769640434;"Undirected"
3681;14924;0.864769640434;"Undirected"
3681;15227;0.864769640434;"Undirected"
3681;15882;0.864769640434;"Undirected"
3681;16566;0.864769640434;"Undirected"
3700;4181;0.873823156569;"Undirected"
3700;6018;0.811736479175;"Undirected"
3700;13575;0.84539462429;"Undirected"
3700;14112;0.873823156569;"Undirected"
3700;16418;0.90225561643;"Undirected"
3700;16661;0.90225561643;"Undirected"
3701;4124;0.820683217216;"Undirected"
3701;8709;0.815751470336;"Undirected"
3701;9058;0.815751470336;"Undirected"
3701;16837;0.815751470336;"Undirected"
3701;17491;0.815751470336;"Undirected"
3701;22416;0.820683217216;"Undirected"
3710;4859;0.842456911005;"Undirected"
3710;7198;0.842456911005;"Undirected"
3710;8749;0.842456911005;"Undirected"
3710;20226;0.842456911005;"Undirected"
3720;3738;0.83707860242;"Undirected"
3728;17041;0.868457719625;"Undirected"
3735;3865;0.828793204523;"Undirected"
3735;16477;0.867115249748;"Undirected"
3738;3720;0.83707860242;"Undirected"
3747;9340;0.812538128451;"Undirected"
3748;26474;0.913538845403;"Undirected"
3748;29350;0.840744293906;"Undirected"
3750;4307;0.82409622302;"Undirected"
3750;15843;0.82409622302;"Undirected"
3750;25795;0.82409622302;"Undirected"
3840;8526;0.872795071916;"Undirected"
3840;10559;0.872795071916;"Undirected"
3846;3912;0.914581703543;"Undirected"
3846;3944;0.914581703543;"Undirected"
3846;4475;0.914581703543;"Undirected"
3846;14633;0.914581703543;"Undirected"
3846;15966;0.914581703543;"Undirected"
3846;16044;0.914581703543;"Undirected"
3846;16137;0.914581703543;"Undirected"
3846;16360;0.914581703543;"Undirected"
3852;3896;0.851660187247;"Undirected"
3852;4359;0.883437720004;"Undirected"
3852;6317;0.883437720004;"Undirected"
3860;5480;0.883644830618;"Undirected"
3865;3735;0.828793204523;"Undirected"
3890;3920;0.943543768791;"Undirected"
3896;3852;0.851660187247;"Undirected"
3896;4482;0.851660187247;"Undirected"
3896;5928;0.851660187247;"Undirected"
3896;17260;0.850015596738;"Undirected"
3912;3846;0.914581703543;"Undirected"
3920;3890;0.943543768791;"Undirected"
3920;3941;0.943543768791;"Undirected"
3920;3967;0.943543768791;"Undirected"
3941;3920;0.943543768791;"Undirected"
3944;3846;0.914581703543;"Undirected"
3946;3950;0.903901355801;"Undirected"
3950;3946;0.903901355801;"Undirected"
3967;3920;0.943543768791;"Undirected"
3979;6046;0.835968993515;"Undirected"
3979;17757;0.835968993515;"Undirected"
3984;4417;0.835929270371;"Undirected"
3984;4772;0.85521174973;"Undirected"
3984;7391;0.833135114814;"Undirected"
3984;8474;0.835793022998;"Undirected"
3984;10137;0.835793022998;"Undirected"
3984;10181;0.835793022998;"Undirected"
3984;11380;0.829880815224;"Undirected"
3984;13616;0.883677209349;"Undirected"
3984;15095;0.883677209349;"Undirected"
3984;15183;0.857682566294;"Undirected"
3984;15717;0.883677209349;"Undirected"
3984;15869;0.883677209349;"Undirected"
3984;16494;0.801366625668;"Undirected"
3984;28571;0.857905364128;"Undirected"
3993;4018;0.952322457231;"Undirected"
3998;18783;0.834847936629;"Undirected"
4008;26036;0.896860209372;"Undirected"
4010;16282;0.864584575391;"Undirected"
4018;3993;0.952322457231;"Undirected"
4031;12651;0.883932257294;"Undirected"
4052;24035;0.856925676584;"Undirected"
4058;16983;0.811459809747;"Undirected"
4062;2920;0.801353505148;"Undirected"
4062;3342;0.801353505148;"Undirected"
4062;6247;0.801353505148;"Undirected"
4062;8909;0.801353505148;"Undirected"
4062;9211;0.801353505148;"Undirected"
4062;9220;0.801353505148;"Undirected"
4062;9358;0.801353505148;"Undirected"
4062;9953;0.801353505148;"Undirected"
4062;13311;0.801353505148;"Undirected"
4062;13572;0.882011756384;"Undirected"
4062;15792;0.827255682053;"Undirected"
4062;17207;0.801353505148;"Undirected"
4062;17235;0.801353505148;"Undirected"
4062;18403;0.801353505148;"Undirected"
4062;18404;0.801353505148;"Undirected"
4062;19815;0.801353505148;"Undirected"
